threads,iterations,time
12,10,1.607965
11,10,1.702391
10,10,1.757682
9,10,1.906218
8,10,2.078075
7,10,2.266158
6,10,2.509562
5,10,2.855976
4,10,3.256952
3,10,3.862065
2,10,4.582907
1,10,9.158317
12,100,10.803334
11,100,12.012305
10,100,12.275706
9,100,12.928757
8,100,12.238777
7,100,14.135200
6,100,15.579470
5,100,16.725714
4,100,18.348223
3,100,20.211364
2,100,23.028552
1,100,42.398863
12,1000,92.682966
11,1000,99.888755
10,1000,102.572265
9,1000,107.824905
8,1000,114.074802
7,1000,121.047009
6,1000,129.311648
5,1000,138.986790
4,1000,152.457761
3,1000,168.177032
2,1000,190.439815
1,1000,351.294236
12,10000,948.609213
11,10000,975.475209
10,10000,1000.822090
9,10000,1050.323656
8,10000,1106.152245
7,10000,1177.228061
6,10000,1257.307669
5,10000,1355.475907
4,10000,1485.255956
3,10000,1638.086430
2,10000,1856.602287
1,10000,3420.226461
