threads,iterations,time
0,10,9.132269
0,100,42.168751
0,1000,349.120333
0,10000,3398.296698
0,100000,33871.424540
12,10,1.659751
12,100,7.507593
12,1000,96.801322
12,10000,1019.807994
12,100000,10166.711461
11,10,1.714872
11,100,11.691344
11,1000,105.874694
11,10000,1044.742243
10,10,1.793992
9,10,1.957816
8,10,2.123469
7,10,2.322688
6,10,2.568888
5,10,2.879796
4,10,3.267357
3,10,3.826980
2,10,4.577259
1,10,9.122711
10,100,8.430603
9,100,9.809774
8,100,12.245200
7,100,13.006907
6,100,13.262447
5,100,15.633844
4,100,15.881484
3,100,18.037130
2,100,21.196527
1,100,42.360802
10,1000,82.135613
9,1000,93.939019
8,1000,105.935009
7,1000,108.990252
6,1000,119.728539
5,1000,126.013132
4,1000,137.765360
3,1000,155.739052
2,1000,178.227191
1,1000,351.217816
10,10000,891.072009
9,10000,990.368920
8,10000,1014.261320
7,10000,1076.571277
6,10000,1168.777846
5,10000,1255.235153
4,10000,1383.789746
3,10000,1537.228609
2,10000,1766.634126
1,10000,3420.711648
10,100000,9454.067758
